0.285	110.49		104.007	116.369
0.356	106.718	101.326	112.395
0.45	105.78		100.436	111.408
0.562	107.605	102.167	113.329
0.711	105.741	100.399	111.368
0.9	98.661		93.676		103.91
1.125	89.7		85.168		94.472
1.423	77.432		73.521		81.552
1.778	61.31		58.212		64.571
2.223	50.251		47.712		52.925
2.812	44.518		41.905		46.886
3.557	35.554		33.758		37.446
4.499	31.227		29.394		33.174
5.624	29.389		27.19		31.765
7.113	24.935		22.479		27.659
8.892	20.087		17.343		23.065
11.247	21.336		17.191		25.58
14.226	15.098		9.887		20.254
17.783	25.133		12.269		37.722
22.493	19.39		3.		20.422
